x1,x2,NN Output
-15.0,-15.0,4.8557224
-14.696969696969697,-15.0,4.7851257
-14.393939393939394,-15.0,4.7142715
-14.09090909090909,-15.0,4.6432095
-13.787878787878787,-15.0,4.57197
-13.484848484848484,-15.0,4.5005913
-13.181818181818182,-15.0,4.429117
-12.878787878787879,-15.0,4.3575897
-12.575757575757576,-15.0,4.286051
-12.272727272727273,-15.0,4.2145424
-11.969696969696969,-15.0,4.1431103
-11.666666666666666,-15.0,4.0718
-11.363636363636363,-15.0,4.000656
-11.06060606060606,-15.0,3.9297295
-10.757575757575758,-15.0,3.8590603
-10.454545454545453,-15.0,3.788702
-10.151515151515152,-15.0,3.7187042
-9.848484848484848,-15.0,3.6491108
-9.545454545454545,-15.0,3.579977
-9.242424242424242,-15.0,3.5113487
-8.93939393939394,-15.0,3.4432755
-8.636363636363637,-15.0,3.3758087
-8.333333333333332,-15.0,3.309
-8.030303030303031,-15.0,3.242899
-7.727272727272727,-15.0,3.1775532
-7.424242424242424,-15.0,3.113018
-7.121212121212121,-15.0,3.0493393
-6.818181818181818,-15.0,2.9865646
-6.515151515151516,-15.0,2.9247475
-6.212121212121211,-15.0,2.8639336
-5.909090909090908,-15.0,2.8041706
-5.6060606060606055,-15.0,2.74551
-5.303030303030303,-15.0,2.6879883
-5.0,-15.0,2.6316643
-4.696969696969697,-15.0,2.5765705
-4.3939393939393945,-15.0,2.5227585
-4.09090909090909,-15.0,2.4702663
-3.787878787878787,-15.0,2.419138
-3.4848484848484844,-15.0,2.3694115
-3.1818181818181817,-15.0,2.3211308
-2.878787878787879,-15.0,2.2743225
-2.575757575757576,-15.0,2.2290363
-2.2727272727272716,-15.0,2.1852932
-1.9696969696969688,-15.0,2.143139
-1.666666666666666,-15.0,2.1025944
-1.3636363636363633,-15.0,2.063696
-1.0606060606060606,-15.0,2.0264664
-0.7575757575757578,-15.0,1.9909344
-0.45454545454545325,-15.0,1.9571266
-0.1515151515151505,-15.0,1.9250603
0.15151515151515227,-15.0,1.894762
0.45454545454545503,-15.0,1.8662453
0.7575757575757578,-15.0,1.839531
1.0606060606060623,-15.0,1.8146324
1.3636363636363633,-15.0,1.7915611
1.6666666666666679,-15.0,1.7703304
1.9696969696969688,-15.0,1.7509499
2.2727272727272734,-15.0,1.7334232
2.575757575757578,-15.0,1.7177563
2.878787878787879,-15.0,1.7039547
3.1818181818181834,-15.0,1.6920223
3.4848484848484844,-15.0,1.6819496
3.787878787878789,-15.0,1.6737385
4.09090909090909,-15.0,1.6673851
4.3939393939393945,-15.0,1.662878
4.696969696969699,-15.0,1.6602154
5.0,-15.0,1.6593819
5.3030303030303045,-15.0,1.660368
5.6060606060606055,-15.0,1.6631546
5.90909090909091,-15.0,1.6677322
6.212121212121211,-15.0,1.6740742
6.515151515151516,-15.0,1.682167
6.81818181818182,-15.0,1.691988
7.121212121212121,-15.0,1.7035103
7.424242424242426,-15.0,1.716711
7.727272727272727,-15.0,1.7315636
8.030303030303031,-15.0,1.7480392
8.333333333333336,-15.0,1.7661057
8.636363636363637,-15.0,1.7857323
8.939393939393941,-15.0,1.8068867
9.242424242424242,-15.0,1.8295326
9.545454545454547,-15.0,1.8536339
9.848484848484848,-15.0,1.8791485
10.151515151515152,-15.0,1.9060459
