x1,x2,NN Output
-5.0,-5.0,108.810745
-4.898989898989899,-5.0,105.23699
-4.797979797979798,-5.0,101.66776
-4.696969696969697,-5.0,98.10499
-4.595959595959596,-5.0,94.55165
-4.494949494949495,-5.0,91.01166
-4.393939393939394,-5.0,87.490036
-4.292929292929293,-5.0,83.99266
-4.191919191919192,-5.0,80.52639
-4.090909090909091,-5.0,77.09859
-3.9898989898989896,-5.0,73.71728
-3.888888888888889,-5.0,70.39066
-3.787878787878788,-5.0,67.12695
-3.686868686868687,-5.0,63.93416
-3.5858585858585856,-5.0,60.81948
-3.484848484848485,-5.0,57.788975
-3.383838383838384,-5.0,54.84549
-3.282828282828283,-5.0,51.985764
-3.1818181818181817,-5.0,49.199783
-3.080808080808081,-5.0,46.481987
-2.9797979797979797,-5.0,43.853153
-2.878787878787879,-5.0,41.36552
-2.7777777777777777,-5.0,39.069614
-2.676767676767677,-5.0,36.974308
-2.5757575757575757,-5.0,35.050564
-2.474747474747475,-5.0,33.271587
-2.3737373737373737,-5.0,31.632645
-2.272727272727273,-5.0,30.132477
-2.1717171717171717,-5.0,28.752913
-2.070707070707071,-5.0,27.461605
-1.9696969696969697,-5.0,26.225021
-1.868686868686869,-5.0,25.015598
-1.7676767676767677,-5.0,23.813505
-1.6666666666666665,-5.0,22.607533
-1.5656565656565657,-5.0,21.395174
-1.4646464646464645,-5.0,20.179823
-1.3636363636363638,-5.0,18.96611
-1.2626262626262625,-5.0,17.756432
-1.1616161616161618,-5.0,16.551565
-1.0606060606060606,-5.0,15.354642
-0.9595959595959593,-5.0,14.174533
-0.858585858585859,-5.0,13.024438
-0.7575757575757578,-5.0,11.920414
-0.6565656565656566,-5.0,10.889283
-0.5555555555555554,-5.0,9.974201
-0.45454545454545503,-5.0,9.216892
-0.3535353535353538,-5.0,8.6323395
-0.2525252525252526,-5.0,8.207704
-0.15151515151515138,-5.0,7.9217267
-0.050505050505050164,-5.0,7.759628
0.050505050505050164,-5.0,7.713119
0.15151515151515138,-5.0,7.773127
0.2525252525252526,-5.0,7.924987
0.3535353535353538,-5.0,8.1503725
0.45454545454545414,-5.0,8.43286
0.5555555555555554,-5.0,8.760357
0.6565656565656566,-5.0,9.120823
0.7575757575757578,-5.0,9.498642
0.8585858585858581,-5.0,9.881858
0.9595959595959593,-5.0,10.27393
1.0606060606060606,-5.0,10.692648
1.1616161616161618,-5.0,11.154046
1.262626262626262,-5.0,11.658177
1.3636363636363633,-5.0,12.190389
1.4646464646464645,-5.0,12.733702
1.5656565656565657,-5.0,13.276346
1.666666666666667,-5.0,13.808319
1.7676767676767673,-5.0,14.315467
1.8686868686868685,-5.0,14.781571
1.9696969696969697,-5.0,15.197333
2.070707070707071,-5.0,15.568407
2.1717171717171713,-5.0,15.916164
2.2727272727272725,-5.0,16.271015
2.3737373737373737,-5.0,16.662731
2.474747474747475,-5.0,17.11293
2.5757575757575752,-5.0,17.632757
2.6767676767676765,-5.0,18.225357
2.7777777777777777,-5.0,18.890207
