x1,x2,NN Output
-5.0,-5.0,179.86836
-4.898989898989899,-5.0,174.47748
-4.797979797979798,-5.0,169.05232
-4.696969696969697,-5.0,163.5924
-4.595959595959596,-5.0,158.09819
-4.494949494949495,-5.0,152.57095
-4.393939393939394,-5.0,147.01317
-4.292929292929293,-5.0,141.42844
-4.191919191919192,-5.0,135.8217
-4.090909090909091,-5.0,130.19917
-3.9898989898989896,-5.0,124.5685
-3.888888888888889,-5.0,118.93843
-3.787878787878788,-5.0,113.31915
-3.686868686868687,-5.0,107.72203
-3.5858585858585856,-5.0,102.15997
-3.484848484848485,-5.0,96.64721
-3.383838383838384,-5.0,91.199524
-3.282828282828283,-5.0,85.83413
-3.1818181818181817,-5.0,80.569016
-3.080808080808081,-5.0,75.41994
-2.9797979797979797,-5.0,70.39048
-2.878787878787879,-5.0,65.4698
-2.7777777777777777,-5.0,60.69382
-2.676767676767677,-5.0,56.220222
-2.5757575757575757,-5.0,52.22995
-2.474747474747475,-5.0,48.75931
-2.3737373737373737,-5.0,45.71239
-2.272727272727273,-5.0,42.965504
-2.1717171717171717,-5.0,40.42968
-2.070707070707071,-5.0,38.067116
-1.9696969696969697,-5.0,35.86681
-1.868686868686869,-5.0,33.809536
-1.7676767676767677,-5.0,31.854519
-1.6666666666666665,-5.0,29.947493
-1.5656565656565657,-5.0,28.039188
-1.4646464646464645,-5.0,26.10707
-1.3636363636363638,-5.0,24.170347
-1.2626262626262625,-5.0,22.286415
-1.1616161616161618,-5.0,20.527113
-1.0606060606060606,-5.0,18.951456
-0.9595959595959593,-5.0,17.593065
-0.858585858585859,-5.0,16.460321
-0.7575757575757578,-5.0,15.538161
-0.6565656565656566,-5.0,14.789391
-0.5555555555555554,-5.0,14.161628
-0.45454545454545503,-5.0,13.602438
-0.3535353535353538,-5.0,13.080345
-0.2525252525252526,-5.0,12.603327
-0.15151515151515138,-5.0,12.220151
-0.050505050505050164,-5.0,11.9962635
0.050505050505050164,-5.0,11.978842
0.15151515151515138,-5.0,12.176233
0.2525252525252526,-5.0,12.559411
0.3535353535353538,-5.0,13.073609
0.45454545454545414,-5.0,13.648903
0.5555555555555554,-5.0,14.207229
0.6565656565656566,-5.0,14.677657
0.7575757575757578,-5.0,15.026226
0.8585858585858581,-5.0,15.279092
0.9595959595959593,-5.0,15.512406
1.0606060606060606,-5.0,15.809635
1.1616161616161618,-5.0,16.218224
1.262626262626262,-5.0,16.737478
1.3636363636363633,-5.0,17.336618
1.4646464646464645,-5.0,17.979383
1.5656565656565657,-5.0,18.639385
1.666666666666667,-5.0,19.303411
1.7676767676767673,-5.0,19.964582
1.8686868686868685,-5.0,20.613413
1.9696969696969697,-5.0,21.237211
2.070707070707071,-5.0,21.829737
2.1717171717171713,-5.0,22.401867
2.2727272727272725,-5.0,22.984613
2.3737373737373737,-5.0,23.621967
2.474747474747475,-5.0,24.357748
2.5757575757575752,-5.0,25.22255
2.6767676767676765,-5.0,26.226376
2.7777777777777777,-5.0,27.359718
2.878787878787879,-5.0,28.60095
2.9797979797979792,-5.0,29.926306
