x1,x2,NN Output
-5.0,-5.0,99.61709
-4.898989898989899,-5.0,96.28646
-4.797979797979798,-5.0,92.966934
-4.696969696969697,-5.0,89.65974
-4.595959595959596,-5.0,86.367256
-4.494949494949495,-5.0,83.09302
-4.393939393939394,-5.0,79.841644
-4.292929292929293,-5.0,76.618935
-4.191919191919192,-5.0,73.43138
-4.090909090909091,-5.0,70.286064
-3.9898989898989896,-5.0,67.19025
-3.888888888888889,-5.0,64.15101
-3.787878787878788,-5.0,61.174927
-3.686868686868687,-5.0,58.267765
-3.5858585858585856,-5.0,55.434235
-3.484848484848485,-5.0,52.67777
-3.383838383838384,-5.0,50.000225
-3.282828282828283,-5.0,47.401596
-3.1818181818181817,-5.0,44.87853
-3.080808080808081,-5.0,42.421864
-2.9797979797979797,-5.0,40.01713
-2.878787878787879,-5.0,37.656433
-2.7777777777777777,-5.0,35.359608
-2.676767676767677,-5.0,33.1799
-2.5757575757575757,-5.0,31.176584
-2.474747474747475,-5.0,29.379421
-2.3737373737373737,-5.0,27.783606
-2.272727272727273,-5.0,26.370596
-2.1717171717171717,-5.0,25.12105
-2.070707070707071,-5.0,24.012766
-1.9696969696969697,-5.0,23.019756
-1.868686868686869,-5.0,22.114159
-1.7676767676767677,-5.0,21.265362
-1.6666666666666665,-5.0,20.43872
-1.5656565656565657,-5.0,19.598728
-1.4646464646464645,-5.0,18.715359
-1.3636363636363638,-5.0,17.769653
-1.2626262626262625,-5.0,16.756832
-1.1616161616161618,-5.0,15.687198
-1.0606060606060606,-5.0,14.58462
-0.9595959595959593,-5.0,13.480161
-0.858585858585859,-5.0,12.40123
-0.7575757575757578,-5.0,11.365774
-0.6565656565656566,-5.0,10.392649
-0.5555555555555554,-5.0,9.516199
-0.45454545454545503,-5.0,8.777384
-0.3535353535353538,-5.0,8.199325
-0.2525252525252526,-5.0,7.7802625
-0.15151515151515138,-5.0,7.5081334
-0.050505050505050164,-5.0,7.3749447
0.050505050505050164,-5.0,7.378945
0.15151515151515138,-5.0,7.518013
0.2525252525252526,-5.0,7.7804475
0.3535353535353538,-5.0,8.137499
0.45454545454545414,-5.0,8.543211
0.5555555555555554,-5.0,8.947018
0.6565656565656566,-5.0,9.314693
0.7575757575757578,-5.0,9.6422
0.8585858585858581,-5.0,9.953191
0.9595959595959593,-5.0,10.284499
1.0606060606060606,-5.0,10.668797
1.1616161616161618,-5.0,11.120857
1.262626262626262,-5.0,11.635014
1.3636363636363633,-5.0,12.194952
1.4646464646464645,-5.0,12.785463
1.5656565656565657,-5.0,13.394032
1.666666666666667,-5.0,14.003576
1.7676767676767673,-5.0,14.588138
1.8686868686868685,-5.0,15.119286
1.9696969696969697,-5.0,15.578683
2.070707070707071,-5.0,15.967515
2.1717171717171713,-5.0,16.30731
2.2727272727272725,-5.0,16.632504
2.3737373737373737,-5.0,16.979105
2.474747474747475,-5.0,17.37491
2.5757575757575752,-5.0,17.83529
2.6767676767676765,-5.0,18.364931
2.7777777777777777,-5.0,18.962582
2.878787878787879,-5.0,19.62573
2.9797979797979792,-5.0,20.353111
3.0808080808080813,-5.0,21.145128
3.1818181818181817,-5.0,22.003239
3.282828282828282,-5.0,22.928692
3.383838383838384,-5.0,23.92157
3.4848484848484844,-5.0,24.980005
3.5858585858585865,-5.0,26.099909
3.686868686868687,-5.0,27.275358
3.787878787878787,-5.0,28.499313
3.8888888888888893,-5.0,29.764467
3.9898989898989896,-5.0,31.06375
4.09090909090909,-5.0,32.39045
4.191919191919192,-5.0,33.73802
4.292929292929292,-5.0,35.10017
4.3939393939393945,-5.0,36.471176
4.494949494949495,-5.0,37.846478
4.595959595959595,-5.0,39.223404
4.696969696969697,-5.0,40.601486
4.797979797979798,-5.0,41.98253
4.8989898989899,-5.0,43.37019
5.0,-5.0,44.769344
-5.0,-4.898989898989899,100.66073
-4.898989898989899,-4.898989898989899,97.31159
-4.797979797979798,-4.898989898989899,93.971855
-4.696969696969697,-4.898989898989899,90.64209
-4.595959595959596,-4.898989898989899,87.323845
-4.494949494949495,-4.898989898989899,84.01975
-4.393939393939394,-4.898989898989899,80.73373
-4.292929292929293,-4.898989898989899,77.4709
-4.191919191919192,-4.898989898989899,74.23732
-4.090909090909091,-4.898989898989899,71.03991
-3.9898989898989896,-4.898989898989899,67.886024
-3.888888888888889,-4.898989898989899,64.78322
-3.787878787878788,-4.898989898989899,61.738804
-3.686868686868687,-4.898989898989899,58.759544
-3.5858585858585856,-4.898989898989899,55.851364
-3.484848484848485,-4.898989898989899,53.019093
-3.383838383838384,-4.898989898989899,50.2661
-3.282828282828283,-4.898989898989899,47.593987
-3.1818181818181817,-4.898989898989899,45.001484
-3.080808080808081,-4.898989898989899,42.482037
-2.9797979797979797,-4.898989898989899,40.022243
-2.878787878787879,-4.898989898989899,37.60992
-2.7777777777777777,-4.898989898989899,35.25575
-2.676767676767677,-4.898989898989899,33.007244
-2.5757575757575757,-4.898989898989899,30.92901
-2.474747474747475,-4.898989898989899,29.062662
-2.3737373737373737,-4.898989898989899,27.41061
-2.272727272727273,-4.898989898989899,25.953476
-2.1717171717171717,-4.898989898989899,24.668224
-2.070707070707071,-4.898989898989899,23.53092
-1.9696969696969697,-4.898989898989899,22.516058
-1.868686868686869,-4.898989898989899,21.597567
-1.7676767676767677,-4.898989898989899,20.746887
-1.6666666666666665,-4.898989898989899,19.930248
-1.5656565656565657,-4.898989898989899,19.111065
-1.4646464646464645,-4.898989898989899,18.256575
-1.3636363636363638,-4.898989898989899,17.344402
-1.2626262626262625,-4.898989898989899,16.3664
-1.1616161616161618,-4.898989898989899,15.329692
-1.0606060606060606,-4.898989898989899,14.255162
-0.9595959595959593,-4.898989898989899,13.17151
-0.858585858585859,-4.898989898989899,12.10513
-0.7575757575757578,-4.898989898989899,11.075083
-0.6565656565656566,-4.898989898989899,10.104102
-0.5555555555555554,-4.898989898989899,9.231406
-0.45454545454545503,-4.898989898989899,8.500082
-0.3535353535353538,-4.898989898989899,7.931245
-0.2525252525252526,-4.898989898989899,7.519748
-0.15151515151515138,-4.898989898989899,7.2518406
-0.050505050505050164,-4.898989898989899,7.1203127
0.050505050505050164,-4.898989898989899,7.125349
0.15151515151515138,-4.898989898989899,7.2664084
0.2525252525252526,-4.898989898989899,7.5320067
0.3535353535353538,-4.898989898989899,7.8922095
0.45454545454545414,-4.898989898989899,8.299442
0.5555555555555554,-4.898989898989899,8.702598
0.6565656565656566,-4.898989898989899,9.068752
0.7575757575757578,-4.898989898989899,9.396509
0.8585858585858581,-4.898989898989899,9.711807
0.9595959595959593,-4.898989898989899,10.052178
1.0606060606060606,-4.898989898989899,10.448537
1.1616161616161618,-4.898989898989899,10.912362
1.262626262626262,-4.898989898989899,11.435228
1.3636363636363633,-4.898989898989899,11.999949
1.4646464646464645,-4.898989898989899,12.591322
1.5656565656565657,-4.898989898989899,13.195877
1.666666666666667,-4.898989898989899,13.79448
1.7676767676767673,-4.898989898989899,14.360237
1.8686868686868685,-4.898989898989899,14.866947
1.9696969696969697,-4.898989898989899,15.301617
2.070707070707071,-4.898989898989899,15.671961
2.1717171717171713,-4.898989898989899,16.004627
2.2727272727272725,-4.898989898989899,16.33592
2.3737373737373737,-4.898989898989899,16.70028
2.474747474747475,-4.898989898989899,17.121906
2.5757575757575752,-4.898989898989899,17.612608
2.6767676767676765,-4.898989898989899,18.174969
2.7777777777777777,-4.898989898989899,18.807367
2.878787878787879,-4.898989898989899,19.507866
2.9797979797979792,-4.898989898989899,20.275953
3.0808080808080813,-4.898989898989899,21.112345
3.1818181818181817,-4.898989898989899,22.01802
3.282828282828282,-4.898989898989899,22.993065
3.383838383838384,-4.898989898989899,24.035791
3.4848484848484844,-4.898989898989899,25.142227
3.5858585858585865,-4.898989898989899,26.306337
3.686868686868687,-4.898989898989899,27.5207
3.787878787878787,-4.898989898989899,28.77746
3.8888888888888893,-4.898989898989899,30.069084
3.9898989898989896,-4.898989898989899,31.388618
4.09090909090909,-4.898989898989899,32.729725
4.191919191919192,-4.898989898989899,34.08637
4.292929292929292,-4.898989898989899,35.453182
4.3939393939393945,-4.898989898989899,36.825832
4.494949494949495,-4.898989898989899,38.201645
4.595959595959595,-4.898989898989899,39.580036
4.696969696969697,-4.898989898989899,40.962555
4.797979797979798,-4.898989898989899,42.35258
4.8989898989899,-4.898989898989899,43.754757
5.0,-4.898989898989899,45.17415
-5.0,-4.797979797979798,101.722404
-4.898989898989899,-4.797979797979798,98.356445
-4.797979797979798,-4.797979797979798,94.998604
-4.696969696969697,-4.797979797979798,91.64871
-4.595959595959596,-4.797979797979798,88.30757
-4.494949494949495,-4.797979797979798,84.97698
-4.393939393939394,-4.797979797979798,81.66007
-4.292929292929293,-4.797979797979798,78.36103
-4.191919191919192,-4.797979797979798,75.08551
-4.090909090909091,-4.797979797979798,71.839905
-3.9898989898989896,-4.797979797979798,68.63153
-3.888888888888889,-4.797979797979798,65.46811
-3.787878787878788,-4.797979797979798,62.35753
-3.686868686868687,-4.797979797979798,59.307343
-3.5858585858585856,-4.797979797979798,56.324596
-3.484848484848485,-4.797979797979798,53.41539
-3.383838383838384,-4.797979797979798,50.58459
-3.282828282828283,-4.797979797979798,47.835453
-3.1818181818181817,-4.797979797979798,45.16879
-3.080808080808081,-4.797979797979798,42.580837
-2.9797979797979797,-4.797979797979798,40.06034
-2.878787878787879,-4.797979797979798,37.592907
-2.7777777777777777,-4.797979797979798,35.18038
-2.676767676767677,-4.797979797979798,32.862267
-2.5757575757575757,-4.797979797979798,30.705622
-2.474747474747475,-4.797979797979798,28.763935
-2.3737373737373737,-4.797979797979798,27.049332
-2.272727272727273,-4.797979797979798,25.543335
-2.1717171717171717,-4.797979797979798,24.219149
