Iteration,Time (s),x_1,x_2,y_val (real)
1,1.9073486328125e-06,0.9931756794125546,0.9674032866885405,[2.89663315]
2,2.2602410316467285,0.9750885903689053,0.9288204849082762,[2.76903724]
3,4.2827582359313965,0.9898126065437562,0.9180298388428643,[2.75103211]
