Iteration,Time (s),x_1,x_2,y_val (real)
1,2.1457672119140625e-06,-0.055734582245349884,-0.06601286679506302,-0.44517722725868225
2,2.216517925262451,-0.12409328669309616,-0.1211942508816719,-0.642794132232666
3,4.583467960357666,-0.16316303610801697,-0.13127471506595612,-0.7422120571136475
4,7.376708030700684,-0.1653502881526947,-0.12066242843866348,-0.7720358371734619
5,10.050121068954468,-0.15447892248630524,-0.11367923021316528,-0.7745985388755798
6,12.81389594078064,-0.1415802389383316,-0.10758978128433228,-0.7857723236083984
7,15.767683029174805,-0.13245272636413574,-0.10004785656929016,-0.791053056716919
8,18.38992214202881,-0.11873988062143326,-0.08884482085704803,-0.7877691388130188
9,21.085556983947754,-0.11220481991767883,-0.07791149616241455,-0.7811856269836426
10,24.307764053344727,-0.10076531767845154,-0.0727309137582779,-0.7813671827316284
11,27.457144021987915,-0.09200294315814972,-0.06445176899433136,-0.7878610491752625
12,30.262694835662842,-0.07189969718456268,-0.055616796016693115,-0.7641769051551819
13,32.64753293991089,-0.06663284450769424,-0.05357460305094719,-0.777106761932373
14,34.62776494026184,-0.05432776361703873,-0.04278084635734558,-0.7669180035591125
15,36.550788164138794,-0.04936647042632103,-0.04309781640768051,-0.7754371166229248
16,38.610410928726196,-0.044909339398145676,-0.033736877143383026,-0.771637499332428
17,40.92120909690857,-0.040228940546512604,-0.045729152858257294,-0.7727985978126526
18,42.86020803451538,-0.03384903445839882,-0.0023404397070407867,-0.7692389488220215
19,45.234373807907104,-0.04969184473156929,-0.11629551649093628,-0.7478275299072266
20,47.17822480201721,0.02128850296139717,0.18333500623703003,-0.622874915599823
21,49.250755071640015,-0.22924335300922394,-0.5839663147926331,0.21229369938373566
22,51.76883292198181,-0.4006567597389221,-0.5945250391960144,1.1360501050949097
23,54.286272048950195,-0.67372065782547,-0.6607270240783691,0.7329163551330566
24,56.60345506668091,-0.9064282178878784,-0.6590815782546997,-0.013612214475870132
25,59.356971979141235,-1.0407434701919556,-0.634666919708252,-0.43343669176101685
26,66.32235503196716,-1.0883194208145142,-0.613456130027771,-0.56295245885849
